answer to Q1,Answer to Q2,Answer to Q3,Answer to Q4,Answer to Q5,Respondent's age,Respondent's gender,Respondent's occupation
3,1,10,Difference-denying,No,22,Male,Lab technician
3,2,10,Difference-honoring,No,14,Female,Student
1,2,10,Difference-honoring,No,22,Male,Medical assistant
1,1,10,Difference-denying,No,22,Female,Receptionist 
4,5,8,Difference-honoring,No,19,Male ,Amazon Seller
8,6,6,Difference-denying,No,23,Male,Solutions Engineer 
2,4,7,Difference-honoring,No,21,Female,student
2,1,9,Difference-honoring,No,18,Male,None
3,5,10,Difference-honoring,No,53,Male,Entrepreneur
4,5,4,Difference-honoring,Yes,45,Female ,Associate degree 